achalasia-of-cardia.K11_ACHAL	K11_ACHAL
achilles-tendinitis.M13_ACHILLESTEND	M13_ACHILLESTEND
actinic-keratosis.L12_ACTINKERA	L12_ACTINKERA
acute-gastritis.K11_ACUTGASTR	K11_ACUTGASTR
other-necrotizing-vasculopathies-fg.NECROVASC_FG	NECROVASC_FG
adhesive-capsulitis-of-shoulder.M13_ADHCAPSULITIS	M13_ADHCAPSULITIS
age-angina-diagnosed.3627_irnt	3627_irnt
age-asthma-diagnosed.3786_irnt	3786_irnt
able-to-confide.2110	2110
able-to-pay-rentmortgage-as-an-adult.20525	20525
able-to-walk-or-cycle-unaided-for-10-minutes.6017	6017
age-when-periods-started-menarche.2714	2714
alcohol-intake-frequency.1558	1558
all-influenza-not-pneumonia.INFLUENZA	INFLUENZA
acute-alcohol-intoxication.F5_ALCOHOLAC	F5_ALCOHOLAC
alogoneurodystrophy.M13_ALGONEURO	M13_ALGONEURO
alzheimers-disease.AD	AD
aortic-aneurysm.I9_AORTANEUR	I9_AORTANEUR
arterial-embolism-and-thrombosis-of-lower-extremity-artery.I9_ARTEMBTHRLOW	I9_ARTEMBTHRLOW
all-anxiety-disorders.F5_ALLANXIOUS	F5_ALLANXIOUS
arterial-embolism-and-thrombosis.I9_ARTEMBTHR	I9_ARTEMBTHR
arthropathic-psoriasis.L12_PSORI_ARTHRO	L12_PSORI_ARTHRO
arthrosis.M13_ARTHROSIS	M13_ARTHROSIS
anxiety-disorders.KRA_PSY_ANXIETY	KRA_PSY_ANXIETY
any-dementia.KRA_PSY_DEMENTIA	KRA_PSY_DEMENTIA
any-mental-disorder.KRA_PSY_ANYMENTAL	KRA_PSY_ANYMENTAL
asthma-related-pneumonia.ASTHMA_PNEUMONIA	ASTHMA_PNEUMONIA
asthma.J10_ASTHMA_MAIN	J10_ASTHMA_MAIN
atrophic-disorders-of-skin.L12_ATROPHICSKIN	L12_ATROPHICSKIN
basophill-percentage.30220_raw	30220_raw
bells-palsy.G6_BELLPA	G6_BELLPA
asthma-mode.ASTHMA_MODE	ASTHMA_MODE
benign-paroxysmal-vertigo.H8_BPV	H8_BPV
astigmatism-angle-left.5089_raw	5089_raw
astigmatism-angle-right.5088_raw	5088_raw
bipolar-and-major-depression-status-bipolar-i-disorder.20126_1	20126_1
basal-metabolic-rate.23105_raw	23105_raw
bipolar-and-major-depression-status-bipolar-ii-disorder.20126_2	20126_2
belief-that-own-life-is-meaningful.20460	20460
belittlement-by-partner-or-ex-partner-as-an-adult.20521	20521
bipolar-disorder-status.20122	20122
blepharochalasis.H7_BLEPHAROCHALASIS	H7_BLEPHAROCHALASIS
bilateral-oophorectomy-both-ovaries-removed.2834	2834
body-mass-index-bmi.21001_raw	21001_raw
bronchitis.BRONCHITIS	BRONCHITIS
bursitis-of-shoulder.M13_SHOULDERBURSITIS	M13_SHOULDERBURSITIS
birth-weight.20022_raw	20022_raw
birth-weight-of-first-child.2744	2744
campylobacter-enteritis.CAMPYLOENTERITIS	CAMPYLOENTERITIS
cancer-code-self-reported-basal-cell-carcinoma.20001_1061	20001_1061
cancer-code-self-reported-bladder-cancer.20001_1035	20001_1035
cancer-code-self-reported-brain-cancer-primary-malignant-brain-tumour.20001_1032	20001_1032
cake-intake.102190	102190
cancer-code-self-reported-chronic-lymphocytic.20001_1055	20001_1055
cancer-code-self-reported-colon-cancersigmoid-cancer.20001_1022	20001_1022
cancer-code-self-reported-eye-andor-adnexal-cancer.20001_1030	20001_1030
cancer-code-self-reported-hodgkins-lymphoma-hodgkins-disease.20001_1052	20001_1052
cancer-code-self-reported-kidneyrenal-cell-cancer.20001_1034	20001_1034
cancer-code-self-reported-large-bowel-cancercolorectal-cancer.20001_1020	20001_1020
cancer-code-self-reported-larynxthroat-cancer.20001_1006	20001_1006
cancer-code-self-reported-leukaemia.20001_1048	20001_1048
cancer-code-self-reported-liverhepatocellular-cancer.20001_1024	20001_1024
cancer-code-self-reported-lung-cancer.20001_1001	20001_1001
cancer-code-self-reported-malignant-melanoma.20001_1059	20001_1059
cancer-code-self-reported-multiple-myeloma.20001_1050	20001_1050
cancer-code-self-reported-non-hodgkins-lymphoma.20001_1053	20001_1053
cancer-code-self-reported-non-melanoma-skin-cancer.20001_1060	20001_1060
cancer-code-self-reported-oesophageal-cancer.20001_1017	20001_1017
cancer-code-self-reported-primary-bone-cancer.20001_1063	20001_1063
cancer-code-self-reported-rectal-cancer.20001_1023	20001_1023
cancer-code-self-reported-rodent-ulcer.20001_1073	20001_1073
cancer-code-self-reported-sarcomafibrosarcoma.20001_1068	20001_1068
cancer-code-self-reported-skin-cancer.20001_1003	20001_1003
cancer-code-self-reported-small-intestinesmall-bowel-cancer.20001_1019	20001_1019
cancer-code-self-reported-squamous-cell-carcinoma.20001_1062	20001_1062
cancer-code-self-reported-stomach-cancer.20001_1018	20001_1018
cancer-code-self-reported-thyroid-cancer.20001_1065	20001_1065
cancer-code-self-reported-tongue-cancer.20001_1011	20001_1011
cancer-diagnosed-by-doctor.2453	2453
cardiomyopathy.I9_CARDMYO	I9_CARDMYO
childhood-allergy-age-16.CHILDHOOD_ALLERGY	CHILDHOOD_ALLERGY
chirrosis-of-liver-nas.CHIRHEP_NAS	CHIRHEP_NAS
cholangitis-sclerosing.K11_CHOLANGI	K11_CHOLANGI
chrondropathies.M13_CHRONDROPATHIES	M13_CHRONDROPATHIES
cancer-code-self-reported-unclassifiable.20001_99999	20001_99999
chronic-gastritis.K11_CHRONGASTR	K11_CHRONGASTR
cancer-yearage-first-occurred.84_raw	84_raw
chronic-pancreatitis.K11_CHRONPANC	K11_CHRONPANC
chronic-suppurative-otitis-media.H8_CHRON_SUPOTITIS	H8_CHRON_SUPOTITIS
childhood-asthma-age16.ASTHMA_CHILD	ASTHMA_CHILD
chrons-disease-nas.CHRONNAS	CHRONNAS
chrystal-arthropathies-rheuma-endpoint.RHEUMA_CHRYSTAL	RHEUMA_CHRYSTAL
coeliac-disease.K11_COELIAC	K11_COELIAC
conductive-and-sensorineural-hearing-loss.H8_CONSENHEARINGLOSS	H8_CONSENHEARINGLOSS
conductive-hearing-loss-unspecified.H8_HL_CON_NAS	H8_HL_CON_NAS
congenital-malformations-deformations-and-chromosomal-abnormalities.XVII_MALFORMAT_ABNORMAL	XVII_MALFORMAT_ABNORMAL
congenital-malformations-of-heart-and-great-arteries.CONGEN_HEART_ARTER	CONGEN_HEART_ARTER
contemplated-self-harm-in-past-year.20486	20486
contracture-of-joint.M13_CONTRACTUREJOINT	M13_CONTRACTUREJOINT
comparative-body-size-at-age-10.1687	1687
comparative-height-size-at-age-10.1697	1697
convergent-concomitant-strabismus.H7_CONVERSTRAB	H7_CONVERSTRAB
corneal-hysteresis-left.5264_raw	5264_raw
corneal-hysteresis-right.5256_raw	5256_raw
corneal-ulcer.H7_CORNULCER	H7_CORNULCER
coronary-atherosclerosis.I9_CORATHER	I9_CORATHER
cough-on-most-days.22502	22502
crisp-intake.102460	102460
crohns-disease-of-large-intestine.CHRONLARGE	CHRONLARGE
crohns-disease-of-small-interstine.CHRONSMALL	CHRONSMALL
daytime-dozing-sleeping-narcolepsy.1220	1220
death-due-to-cardiac-causes.I9_K_CARDIAC	I9_K_CARDIAC
deforming-dorsopathies.M13_DEFORMDORSO	M13_DEFORMDORSO
deformity-of-fingers.M13_FINGERDEFORM	M13_FINGERDEFORM
